,Distribution,Order (n),Central Momentum (CM[n]),Recursive Formula for Central Momentum CM[n])
16,Bernoulli,16,p*(p**15*(1 - p) + (p - 1)**16),CM[15]*(p**15*(1 - p) + (p - 1)**16)/((p - 1)*(p**14 - (p - 1)**14))
17,Bernoulli,17,p*(p - 1)*(p**16 - (p - 1)**16),CM[16]*(-p**16 + (p - 1)**16)/(p**15 - (p - 1)**15)
18,Bernoulli,18,p*(p**17*(1 - p) + (p - 1)**18),CM[17]*(p**17*(1 - p) + (p - 1)**18)/((p - 1)*(p**16 - (p - 1)**16))
19,Bernoulli,19,p*(p - 1)*(p**18 - (p - 1)**18),CM[18]*(-p**18 + (p - 1)**18)/(p**17 - (p - 1)**17)
20,Bernoulli,20,p*(p**19*(1 - p) + (p - 1)**20),CM[19]*(p**19*(1 - p) + (p - 1)**20)/((p - 1)*(p**18 - (p - 1)**18))
21,Bernoulli,21,p*(p - 1)*(p**20 - (p - 1)**20),CM[20]*(-p**20 + (p - 1)**20)/(p**19 - (p - 1)**19)
22,Bernoulli,22,p*(p**21*(1 - p) + (p - 1)**22),CM[21]*(p**21*(1 - p) + (p - 1)**22)/((p - 1)*(p**20 - (p - 1)**20))
23,Bernoulli,23,p*(p - 1)*(p**22 - (p - 1)**22),CM[22]*(-p**22 + (p - 1)**22)/(p**21 - (p - 1)**21)
24,Bernoulli,24,p*(p**23*(1 - p) + (p - 1)**24),CM[23]*(p**23*(1 - p) + (p - 1)**24)/((p - 1)*(p**22 - (p - 1)**22))
25,Bernoulli,25,p*(p - 1)*(p**24 - (p - 1)**24),CM[24]*(-p**24 + (p - 1)**24)/(p**23 - (p - 1)**23)
26,Bernoulli,26,p*(p**25*(1 - p) + (p - 1)**26),CM[25]*(p**25*(1 - p) + (p - 1)**26)/((p - 1)*(p**24 - (p - 1)**24))
27,Bernoulli,27,p*(p - 1)*(p**26 - (p - 1)**26),CM[26]*(-p**26 + (p - 1)**26)/(p**25 - (p - 1)**25)
28,Bernoulli,28,p*(p**27*(1 - p) + (p - 1)**28),CM[27]*(p**27*(1 - p) + (p - 1)**28)/((p - 1)*(p**26 - (p - 1)**26))
29,Bernoulli,29,p*(p - 1)*(p**28 - (p - 1)**28),CM[28]*(-p**28 + (p - 1)**28)/(p**27 - (p - 1)**27)
30,Bernoulli,30,p*(p**29*(1 - p) + (p - 1)**30),CM[29]*(p**29*(1 - p) + (p - 1)**30)/((p - 1)*(p**28 - (p - 1)**28))
31,Bernoulli,31,p*(p - 1)*(p**30 - (p - 1)**30),CM[30]*(-p**30 + (p - 1)**30)/(p**29 - (p - 1)**29)
32,Bernoulli,32,p*(p**31*(1 - p) + (p - 1)**32),CM[31]*(p**31*(1 - p) + (p - 1)**32)/((p - 1)*(p**30 - (p - 1)**30))
33,Bernoulli,33,p*(p - 1)*(p**32 - (p - 1)**32),CM[32]*(-p**32 + (p - 1)**32)/(p**31 - (p - 1)**31)
34,Bernoulli,34,p*(p**33*(1 - p) + (p - 1)**34),CM[33]*(p**33*(1 - p) + (p - 1)**34)/((p - 1)*(p**32 - (p - 1)**32))
